dataset_id,dataset_version,regime,seed,split,n,n_real,n_fake,fake_ratio,mean_chars,median_chars,mean_words,median_words
DS2,vDEDUP,S-RAND,13,test,5806,3131,2675,0.46073,1723.163,1568.5,241.37,221.0
DS2,vBIN,S-RAND,13,train,27092,14607,12485,0.460837,2498.582,2290.0,409.36,378.0
DS2,vBIN,S-RAND,13,val,5806,3130,2676,0.460903,2502.994,2275.0,410.493,377.0
DS2,vBIN,S-RAND,13,test,5806,3131,2675,0.46073,2480.194,2278.0,407.072,376.0
DS2,vDEDUP,S-RAND,21,train,27092,14607,12485,0.460837,1737.868,1572.0,243.346,222.0
DS2,vDEDUP,S-RAND,21,val,5806,3131,2675,0.46073,1709.284,1547.5,239.656,219.0
DS2,vDEDUP,S-RAND,21,test,5806,3130,2676,0.460903,1742.006,1576.5,243.84,222.0
DS2,vBIN,S-RAND,21,train,27092,14607,12485,0.460837,2502.118,2291.0,410.068,379.0
DS2,vBIN,S-RAND,21,val,5806,3131,2675,0.46073,2458.489,2261.0,403.19,373.0
DS2,vBIN,S-RAND,21,test,5806,3130,2676,0.460903,2508.2,2292.0,411.074,378.0
DS2,vDEDUP,S-RAND,42,train,27092,14607,12485,0.460837,1738.296,1570.0,243.471,221.0
DS2,vDEDUP,S-RAND,42,val,5806,3130,2676,0.460903,1717.877,1570.0,240.255,221.0
DS2,vDEDUP,S-RAND,42,test,5806,3131,2675,0.46073,1731.415,1564.0,242.654,221.0
DS2,vBIN,S-RAND,42,train,27092,14607,12485,0.460837,2503.55,2284.0,410.325,377.0
DS2,vBIN,S-RAND,42,val,5806,3130,2676,0.460903,2470.791,2289.5,404.842,377.0
DS2,vBIN,S-RAND,42,test,5806,3131,2675,0.46073,2489.214,2291.0,408.223,378.0
DS2,vDEDUP,S-RAND,87,train,27092,14607,12485,0.460837,1740.362,1570.0,243.672,222.0
DS2,vDEDUP,S-RAND,87,val,5806,3130,2676,0.460903,1747.252,1588.5,244.773,224.0
DS2,vDEDUP,S-RAND,87,test,5806,3131,2675,0.46073,1692.402,1551.5,237.2,218.0
DS2,vBIN,S-RAND,87,train,27092,14607,12485,0.460837,2505.2,2288.0,410.703,378.0
DS2,vBIN,S-RAND,87,val,5806,3130,2676,0.460903,2515.653,2306.5,411.664,381.0
DS2,vBIN,S-RAND,87,test,5806,3131,2675,0.46073,2436.655,2252.0,399.636,373.0
DS2,vDEDUP,S-RAND,100,train,27092,14607,12485,0.460837,1737.316,1573.0,243.375,222.0
DS2,vDEDUP,S-RAND,100,val,5806,3130,2676,0.460903,1736.532,1558.0,243.015,220.0
DS2,vDEDUP,S-RAND,100,test,5806,3131,2675,0.46073,1717.333,1564.0,240.342,220.0
DS2,vBIN,S-RAND,100,train,27092,14607,12485,0.460837,2500.353,2289.0,410.113,378.0
DS2,vBIN,S-RAND,100,val,5806,3130,2676,0.460903,2502.068,2279.5,408.772,377.0
DS2,vBIN,S-RAND,100,test,5806,3131,2675,0.46073,2472.854,2278.5,405.279,376.0
DS3,vBIN,full,,full,23196,17441,5755,0.248103,137.599,137.0,22.322,22.0
DS3,vDEDUP,full,,full,21664,16360,5304,0.24483,109.466,109.0,16.603,16.0
DS3,vDEDUP,S-RAND,13,train,15164,11451,3713,0.244856,109.165,109.0,16.583,16.0
DS3,vDEDUP,S-RAND,13,val,3250,2454,796,0.244923,109.993,109.0,16.607,16.0
DS3,vDEDUP,S-RAND,13,test,3250,2455,795,0.244615,110.346,109.0,16.691,16.0
DS3,vBIN,S-RAND,13,train,15164,11451,3713,0.244856,138.957,137.0,22.572,22.0
DS3,vBIN,S-RAND,13,val,3250,2454,796,0.244923,139.437,137.0,22.516,22.0
DS3,vBIN,S-RAND,13,test,3250,2455,795,0.244615,139.749,139.0,22.59,22.0
DS3,vDEDUP,S-RAND,21,train,15164,11451,3713,0.244856,109.489,109.0,16.609,16.0
DS3,vDEDUP,S-RAND,21,val,3250,2455,795,0.244615,109.447,109.0,16.602,16.0
DS3,vDEDUP,S-RAND,21,test,3250,2454,796,0.244923,109.381,109.0,16.574,16.0
DS3,vBIN,S-RAND,21,train,15164,11451,3713,0.244856,139.106,137.0,22.561,22.0
DS3,vBIN,S-RAND,21,val,3250,2455,795,0.244615,139.336,137.0,22.63,22.0
DS3,vBIN,S-RAND,21,test,3250,2454,796,0.244923,139.152,139.0,22.528,22.0
DS3,vDEDUP,S-RAND,42,train,15164,11451,3713,0.244856,109.317,109.0,16.59,16.0
DS3,vDEDUP,S-RAND,42,val,3250,2454,796,0.244923,109.335,109.0,16.588,16.0
DS3,vDEDUP,S-RAND,42,test,3250,2455,795,0.244615,110.293,109.0,16.678,16.0
DS3,vBIN,S-RAND,42,train,15164,11451,3713,0.244856,139.032,137.0,22.571,22.0
DS3,vBIN,S-RAND,42,val,3250,2454,796,0.244923,138.646,137.0,22.46,22.0
DS3,vBIN,S-RAND,42,test,3250,2455,795,0.244615,140.188,139.0,22.651,22.0
DS3,vDEDUP,S-RAND,87,train,15164,11451,3713,0.244856,109.499,109.0,16.603,16.0
DS3,vDEDUP,S-RAND,87,val,3250,2454,796,0.244923,109.61,111.0,16.65,16.0
DS3,vDEDUP,S-RAND,87,test,3250,2455,795,0.244615,109.171,109.0,16.555,16.0
DS3,vBIN,S-RAND,87,train,15164,11451,3713,0.244856,139.092,137.0,22.55,22.0
DS3,vBIN,S-RAND,87,val,3250,2454,796,0.244923,139.483,139.0,22.634,22.0
DS3,vBIN,S-RAND,87,test,3250,2455,795,0.244615,139.07,137.0,22.575,22.0
DS3,vDEDUP,S-RAND,100,train,15164,11451,3713,0.244856,109.44,109.0,16.592,16.0
DS3,vDEDUP,S-RAND,100,val,3250,2454,796,0.244923,109.781,109.0,16.658,16.0
DS3,vDEDUP,S-RAND,100,test,3250,2455,795,0.244615,109.274,109.0,16.596,16.0
DS3,vBIN,S-RAND,100,train,15164,11451,3713,0.244856,139.124,137.0,22.56,22.0
DS3,vBIN,S-RAND,100,val,3250,2454,796,0.244923,139.548,139.0,22.626,22.0
DS3,vBIN,S-RAND,100,test,3250,2455,795,0.244615,138.856,137.0,22.535,22.0
DS4,vBIN,full,,full,10700,5600,5100,0.476636,181.894,169.0,27.051,25.0
DS4,vDEDUP,full,,full,10229,5420,4809,0.470134,107.639,98.0,16.303,14.0
DS4,vDEDUP,S-RAND,13,train,7160,3794,3366,0.470112,106.06,98.0,16.095,14.0
DS4,vDEDUP,S-RAND,13,val,1534,813,721,0.470013,112.258,101.0,16.978,15.0
DS4,vDEDUP,S-RAND,13,test,1535,813,722,0.470358,110.388,97.0,16.597,14.0
DS4,vBIN,S-RAND,13,train,7160,3794,3366,0.470112,180.251,170.0,26.826,25.0
DS4,vBIN,S-RAND,13,val,1534,813,721,0.470013,188.804,173.0,28.07,26.0
DS4,vBIN,S-RAND,13,test,1535,813,722,0.470358,187.19,166.0,27.745,25.0
DS4,vDEDUP,S-RAND,21,train,7160,3794,3366,0.470112,107.128,98.0,16.199,14.0
DS4,vDEDUP,S-RAND,21,val,1534,813,721,0.470013,111.566,99.0,17.013,15.0
DS4,vDEDUP,S-RAND,21,test,1535,813,722,0.470358,106.096,96.0,16.078,15.0
DS4,vBIN,S-RAND,21,train,7160,3794,3366,0.470112,182.11,170.0,27.037,25.0
DS4,vBIN,S-RAND,21,val,1534,813,721,0.470013,189.158,174.0,28.332,26.0
DS4,vBIN,S-RAND,21,test,1535,813,722,0.470358,178.165,165.0,26.496,25.0
DS4,vDEDUP,S-RAND,42,train,7160,3794,3366,0.470112,108.317,98.0,16.398,14.0
DS4,vDEDUP,S-RAND,42,val,1534,813,721,0.470013,106.964,98.0,16.154,15.0
DS4,vDEDUP,S-RAND,42,test,1535,813,722,0.470358,105.152,97.0,16.008,14.0
DS4,vBIN,S-RAND,42,train,7160,3794,3366,0.470112,183.489,170.0,27.304,25.0
DS4,vBIN,S-RAND,42,val,1534,813,721,0.470013,182.531,172.5,27.111,26.0
DS4,vBIN,S-RAND,42,test,1535,813,722,0.470358,178.354,167.0,26.473,25.0
DS4,vDEDUP,S-RAND,87,train,7160,3794,3366,0.470112,107.506,97.0,16.275,14.0
DS4,vDEDUP,S-RAND,87,val,1534,813,721,0.470013,109.449,102.0,16.515,15.0
DS4,vDEDUP,S-RAND,87,test,1535,813,722,0.470358,106.45,98.0,16.222,14.0
DS4,vBIN,S-RAND,87,train,7160,3794,3366,0.470112,182.863,168.0,27.205,25.0
DS4,vBIN,S-RAND,87,val,1534,813,721,0.470013,183.125,175.0,27.312,26.0
DS4,vBIN,S-RAND,87,test,1535,813,722,0.470358,180.68,171.0,26.732,26.0
DS4,vDEDUP,S-RAND,100,train,7160,3794,3366,0.470112,106.306,98.0,16.103,14.0
DS4,vDEDUP,S-RAND,100,val,1534,813,721,0.470013,105.338,96.0,15.949,14.0
DS4,vDEDUP,S-RAND,100,test,1535,813,722,0.470358,116.156,100.0,17.588,15.0
DS4,vBIN,S-RAND,100,train,7160,3794,3366,0.470112,180.619,169.0,26.815,25.0
DS4,vBIN,S-RAND,100,val,1534,813,721,0.470013,178.793,166.5,26.671,25.0
DS4,vBIN,S-RAND,100,test,1535,813,722,0.470358,195.48,174.0,29.195,26.0
DS5,vBIN,full,,full,12836,7167,5669,0.441648,106.408,99.0,17.915,17.0
DS5,vDEDUP,full,,full,12796,7152,5644,0.441075,75.376,71.0,11.289,11.0
DS5,vDEDUP,S-RAND,13,train,8957,5006,3951,0.441108,75.504,71.0,11.294,11.0
DS5,vDEDUP,S-RAND,13,val,1919,1073,846,0.440855,74.579,70.0,11.23,11.0
DS5,vDEDUP,S-RAND,13,test,1920,1073,847,0.441146,75.577,71.0,11.327,11.0
DS5,vBIN,S-RAND,13,train,8957,5006,3951,0.441108,106.701,99.0,17.952,17.0
DS5,vBIN,S-RAND,13,val,1919,1073,846,0.440855,105.826,98.0,17.874,17.0
DS5,vBIN,S-RAND,13,test,1920,1073,847,0.441146,106.668,99.0,17.958,17.0
DS5,vDEDUP,S-RAND,21,train,8957,5006,3951,0.441108,75.679,71.0,11.341,11.0
DS5,vDEDUP,S-RAND,21,val,1919,1073,846,0.440855,74.244,70.0,11.169,10.0
DS5,vDEDUP,S-RAND,21,test,1920,1073,847,0.441146,75.094,70.0,11.169,10.0
DS5,vBIN,S-RAND,21,train,8957,5006,3951,0.441108,107.051,99.0,18.035,17.0
DS5,vBIN,S-RAND,21,val,1919,1073,846,0.440855,104.901,98.0,17.692,17.0
DS5,vBIN,S-RAND,21,test,1920,1073,847,0.441146,105.963,98.0,17.754,16.0
DS5,vDEDUP,S-RAND,42,train,8957,5006,3951,0.441108,75.063,71.0,11.241,11.0
DS5,vDEDUP,S-RAND,42,val,1919,1073,846,0.440855,77.429,72.0,11.577,11.0
DS5,vDEDUP,S-RAND,42,test,1920,1073,847,0.441146,74.785,69.0,11.226,11.0
DS5,vBIN,S-RAND,42,train,8957,5006,3951,0.441108,106.081,99.0,17.866,17.0
DS5,vBIN,S-RAND,42,val,1919,1073,846,0.440855,109.158,100.0,18.298,17.0
DS5,vBIN,S-RAND,42,test,1920,1073,847,0.441146,106.232,98.0,17.938,17.0
DS5,vDEDUP,S-RAND,87,train,8957,5006,3951,0.441108,75.494,71.0,11.297,11.0
DS5,vDEDUP,S-RAND,87,val,1919,1073,846,0.440855,74.714,70.0,11.222,11.0
DS5,vDEDUP,S-RAND,87,test,1920,1073,847,0.441146,75.488,71.0,11.321,11.0
DS5,vBIN,S-RAND,87,train,8957,5006,3951,0.441108,106.767,99.0,17.969,17.0
DS5,vBIN,S-RAND,87,val,1919,1073,846,0.440855,105.463,98.0,17.775,16.0
DS5,vBIN,S-RAND,87,test,1920,1073,847,0.441146,106.724,99.0,17.979,17.0
DS5,vDEDUP,S-RAND,100,train,8957,5006,3951,0.441108,75.274,70.0,11.272,11.0
DS5,vDEDUP,S-RAND,100,val,1919,1073,846,0.440855,75.461,70.0,11.311,11.0
DS5,vDEDUP,S-RAND,100,test,1920,1073,847,0.441146,75.769,71.0,11.349,11.0
DS5,vBIN,S-RAND,100,train,8957,5006,3951,0.441108,106.452,98.0,17.923,17.0
DS5,vBIN,S-RAND,100,val,1919,1073,846,0.440855,106.56,100.0,17.931,17.0
DS5,vBIN,S-RAND,100,test,1920,1073,847,0.441146,107.098,100.0,18.036,17.0
